date,GT_금리,GT_물가,GT_인플레이션,GT_한국은행,GT_디플레이션
2020-01,23.0,41.0,16.0,35.0,58.0
2020-02,26.0,36.0,23.0,39.0,43.0
2020-03,38.0,37.0,28.0,39.0,99.0
2020-04,21.0,30.0,29.0,41.0,86.0
2020-05,22.0,37.0,33.0,37.0,100.0
2020-06,23.0,39.0,36.0,43.0,90.0
2020-07,20.0,35.0,25.0,43.0,50.0
2020-08,20.0,39.0,31.0,41.0,37.0
2020-09,18.0,35.0,29.0,38.0,41.0
2020-10,20.0,35.0,25.0,35.0,50.0
2020-11,20.0,33.0,26.0,38.0,42.0
2020-12,20.0,32.0,44.0,44.0,48.0
2021-01,29.0,38.0,52.0,39.0,61.0
2021-02,44.0,36.0,60.0,42.0,46.0
2021-03,77.0,38.0,52.0,38.0,45.0
2021-04,32.0,39.0,35.0,35.0,22.0
2021-05,32.0,42.0,89.0,36.0,42.0
2021-06,33.0,51.0,65.0,44.0,51.0
2021-07,28.0,38.0,34.0,38.0,38.0
2021-08,33.0,37.0,35.0,32.0,36.0
2021-09,29.0,39.0,33.0,32.0,33.0
2021-10,32.0,45.0,66.0,29.0,69.0
2021-11,32.0,52.0,52.0,37.0,49.0
2021-12,31.0,56.0,50.0,37.0,33.0
2022-01,54.0,74.0,54.0,47.0,34.0
2022-02,47.0,74.0,56.0,46.0,40.0
2022-03,44.0,74.0,61.0,47.0,53.0
2022-04,53.0,91.0,71.0,46.0,67.0
2022-05,52.0,97.0,76.0,46.0,55.0
2022-06,66.0,100.0,100.0,45.0,90.0
2022-07,73.0,94.0,71.0,44.0,49.0
2022-08,53.0,84.0,72.0,46.0,48.0
2022-09,74.0,94.0,88.0,50.0,70.0
2022-10,97.0,88.0,70.0,51.0,53.0
2022-11,93.0,84.0,65.0,51.0,45.0
2022-12,73.0,88.0,59.0,46.0,38.0
2023-01,69.0,88.0,42.0,47.0,28.0
2023-02,60.0,94.0,39.0,47.0,45.0
2023-03,61.0,79.0,46.0,46.0,37.0
2023-04,41.0,78.0,45.0,41.0,42.0
2023-05,42.0,77.0,42.0,40.0,34.0
2023-06,36.0,68.0,37.0,35.0,36.0
2023-07,38.0,61.0,27.0,37.0,39.0
2023-08,41.0,57.0,28.0,36.0,86.0
2023-09,35.0,63.0,37.0,34.0,35.0
2023-10,54.0,63.0,36.0,37.0,41.0
2023-11,44.0,68.0,37.0,35.0,48.0
2023-12,40.0,64.0,30.0,33.0,42.0
2024-01,40.0,64.0,27.0,36.0,35.0
2024-02,33.0,61.0,21.0,31.0,43.0
2024-03,45.0,71.0,30.0,38.0,42.0
2024-04,38.0,73.0,39.0,36.0,38.0
2024-05,36.0,70.0,39.0,32.0,44.0
2024-06,34.0,72.0,33.0,34.0,34.0
2024-07,42.0,66.0,30.0,37.0,34.0
2024-08,49.0,66.0,24.0,40.0,30.0
2024-09,47.0,63.0,27.0,40.0,28.0
2024-10,39.0,62.0,33.0,39.0,40.0
2024-11,45.0,71.0,37.0,44.0,45.0
2024-12,56.0,74.0,38.0,50.0,37.0
2025-01,65.0,79.0,33.0,49.0,36.0
2025-02,46.0,73.0,29.0,47.0,32.0
2025-03,43.0,73.0,31.0,50.0,43.0
2025-04,38.0,66.0,31.0,45.0,41.0
2025-05,41.0,60.0,31.0,42.0,30.0
2025-06,38.0,66.0,43.0,46.0,41.0
2025-07,40.0,78.0,42.0,62.0,38.0
2025-08,48.0,76.0,35.0,58.0,31.0
2025-09,58.0,72.0,36.0,52.0,42.0
2025-10,49.0,68.0,37.0,48.0,38.0
2025-11,89.0,84.0,45.0,89.0,39.0
2025-12,100.0,92.0,44.0,100.0,52.0
