,CPI_KR_YoY,AUD_USD,CN_Interbank3M,US_UnempRate,JP_REER,JP_Interbank3M,JP_CoreCPI,KC_FSI,KR_MfgProd,Pork,US_NFP,US_TradeTransEmp,THB_USD,PPI_CopperNickel,CN_PPI,US_Mortgage15Y,UK_10Y_Bond,US_ExportPI,US_DepInstCredit
2003-01-31,3.811003,0.5824419354838709,2.39,5.8,135.69,0.1,-0.5620182035430021,0.566070149861459,6.818949184878353,46.5835,108.0,-46.0,42.79387096774193,6.056860321384416,2.4,5.305806451612903,4.3899,1.4358974358974488,0.0
2003-02-28,3.885987,0.5942535714285714,2.31,5.9,133.73,0.09,-0.5632408344191986,0.50664348055564,5.392070546091476,48.16421052631579,-132.0,-24.0,42.91339285714286,1.581508515815089,4.0,5.244999999999999,4.2131,2.261048304213764,0.0
2003-03-31,4.523678,0.6015645161290322,2.24,5.9,134.92,0.08,-0.476809029154035,0.497254577410785,5.015412693464127,48.8385,-206.0,-44.0,42.79806451612903,-3.3293697978596826,4.6,5.067741935483871,4.3243,2.1516393442623016,0.0
2003-04-30,3.748776,0.6096566666666666,2.17,6.0,133.36,0.08,-0.5341502191159919,0.19313425209041998,2.28920272380424,49.20714285714286,-62.0,-15.0,42.943666666666665,-8.095238095238088,3.6,5.123666666666667,4.4663,1.6326530612244872,0.0
2003-05-31,3.175917,0.6469677419354839,2.16,6.1,134.1,0.08,-0.297919256843937,-0.0619984270515823,3.1183390633764407,58.99333333333333,24.0,-21.0,42.22451612903226,0.837320574162681,2.0,4.876774193548387,4.2197,1.73469387755103,0.0
2003-06-30,2.990928,0.66465,2.28,6.3,132.29,0.09,-0.4436204986501657,-0.113975677193666,7.368296735361679,64.8055,-11.0,-38.0,41.69166666666667,-1.6910935738444155,1.3,4.641,4.1127,1.5306122448979664,-2.222222222222223
2003-07-31,3.187795,0.6620548387096774,2.34,6.2,132.45,0.09,-0.1307367747934051,-0.206276866327597,-0.3410484573719397,60.89952380952381,-2.0,-28.0,41.79516129032258,10.085054678007287,1.4,4.960967741935484,4.4078,1.1190233977619537,-3.584229390681005
2003-08-31,2.979771,0.6521741935483871,2.36,6.1,132.98,0.09,-0.1145956682837456,-0.301579129447461,3.943827336595196,56.68761904761905,-31.0,21.0,41.64403225806451,22.427440633245375,1.4,5.585806451612903,4.604,0.9137055837563414,0.0
2003-09-30,3.3326489999999995,0.6632766666666666,3.68,6.1,136.27,0.09,-0.1934584240526393,-0.450009962897894,7.383452470975827,56.65142857142857,99.0,38.0,40.513999999999996,25.099601593625497,1.4,5.4830000000000005,4.7132,1.0121457489878471,0.0
2003-10-31,3.713996,0.693825806451613,3.45,6.0,140.96,0.09,0.024217585692998197,-0.453002163464695,8.554098550054867,52.53818181818182,187.0,24.0,39.707741935483874,32.26238286479251,1.2,5.277096774193549,4.907099999999999,1.317122593718345,0.0
